com.ubuntu.SoftwareProperties	/	com.ubuntu.SoftwareProperties	AddCdromSource	
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop0	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop1	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop2	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop3	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop4	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop5	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop6	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	Format	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	OpenDevice	sa{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	OpenForBackup	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	OpenForBenchmark	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	OpenForRestore	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	RemoveConfigurationItem	(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	Rescan	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Block	UpdateConfigurationItem	(sa{sv})(sa{sv})a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Loop	Delete	a{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/loop7	org.freedesktop.UDisks2.Loop	SetAutoclear	ba{sv}
org.freedesktop.UDisks2	/org/freedesktop/UDisks2/block_devices/nbd0	org.freedesktop.UDisks2.Block	AddConfigurationItem	(sa{sv})a{sv}
